Drug,Pharmacological class,Interacting Drug or Class,Rationale,Recommendation,Quality of Evidence,Strength of Recommendation
Valproic acid,Antiepileptics,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Phenobarbitone,Antiepileptics,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Perampanel,Antiepileptics,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Levetiracetam,Antiepileptics,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Topiramate,Antiepileptics,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Lamotrigine,Antiepileptics,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Zonisamide,Antiepileptics,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Lacosamide,Antiepileptics,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Eslicarbazepine,Antiepileptics,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Rufinamide,Antiepileptics,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Cannabidiol ,Antiepileptics,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Gabapentin,Antiepileptics,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Pregabalin,Antiepileptics,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Oxcarbazepine,Antiepileptics,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Duloxetine,Serotonin and norepinephrine reuptake inhibitors,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Venlafaxine,Serotonin and norepinephrine reuptake inhibitors,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Desvenlafaxine,Serotonin and norepinephrine reuptake inhibitors,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Escitalopram,Selective serotonin re-uptake inhibitors,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Fluoxetine,Selective serotonin re-uptake inhibitors,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Fluvoxamine,Selective serotonin re-uptake inhibitors,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Paroxetine,Selective serotonin re-uptake inhibitors,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Sertraline,Selective serotonin re-uptake inhibitors,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Vortioxetine,Selective serotonin re-uptake inhibitors,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Citalopram,Selective serotonin re-uptake inhibitors,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Dapoxetine,Selective serotonin re-uptake inhibitors,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Trazodone,Selective serotonin re-uptake inhibitors,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Amitriptyline,Tricyclic antidepressants,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Clomipramine,Tricyclic antidepressants,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Dothiepin,Tricyclic antidepressants,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Dosulepin,Tricyclic antidepressants,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Imipramine,Tricyclic antidepressants,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Nortriptyline,Tricyclic antidepressants,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Doxepin,Tricyclic antidepressants,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Amoxapine,Tricyclic antidepressants,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Desipramine,Tricyclic antidepressants,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Protriptyline,Tricyclic antidepressants,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Tianeptine,Tricyclic antidepressants,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Trimipramine,Tricyclic antidepressants,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Melitracen,Tricyclic antidepressants,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Aripiprazole,Antipsychotics ,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Olanzapine,Antipsychotics ,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Perphenazine,Antipsychotics ,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Quetiapine,Antipsychotics ,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Risperidone,Antipsychotics ,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Chlorpromazine,Antipsychotics ,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Clozapine,Antipsychotics ,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Haloperidol,Antipsychotics ,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Paliperidone,Antipsychotics ,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Lurasidone,Antipsychotics ,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
