Drugs,Pharmacological class,Rationale,Recommendation,"Quality of
evidence","Strength of
recommendation"
Zaleplon,"Nonbenzodiazepine bonzediazepine receptor agonist hypnotics (""Z-drugs"")","Nonbenzodiazepine benzodiazepine receptor agonist hypnotics (“Z-drugs”) have adverse events similar to those of benzodiazepines in older adults (e.g., delirium, falls, fractures, increased emergency room visits/ hospitalizations, motor vehicle crashes); minimal improvement in sleep latency and duration.",Avoid,Moderate ,Strong
Zolpidem,"Nonbenzodiazepine bonzediazepine receptor agonist hypnotics (""Z-drugs"")","Nonbenzodiazepine benzodiazepine receptor agonist hypnotics (“Z-drugs”) have adverse events similar to those of benzodiazepines in older adults (e.g., delirium, falls, fractures, increased emergency room visits/ hospitalizations, motor vehicle crashes); minimal improvement in sleep latency and duration.",Avoid,Moderate ,Strong
Meprobamate,Tranquilizers,High rate of physical dependence; very sedating.,Avoid,Moderate ,Strong
Ergoloid mesylates,Dehydrogenated ergot alkaloids,Lack of efficacy.,Avoid,High,Strong
Methyltestosterone,Androgens,Potential for cardiac problems; potential risks in men with prostate cancer.,Avoid unless indicated for confirmed hypogonadism with clinical symptoms.,Moderate ,Weak
Testosterone,Androgens,Potential for cardiac problems; potential risks in men with prostate cancer.,Avoid unless indicated for confirmed hypogonadism with clinical symptoms.,Moderate ,Weak
Conjugated estrogens,Estrogens,"Evidence of carcinogenic potential (breast and endometrium); lack of cardioprotective effect and cognitive protection in older women.

For women who start HRT at age 60 and older, the risks of HRT are greater than the benefits, as HRT is linked to a higher risk of heart disease, stroke, blood clots, and dementia.

Evidence indicates that vaginal estrogens for the treatment of vaginal dryness are safe and effective; women with a history of breast cancer who do not respond to nonhormonal therapies are advised to discuss the risks and benefits of low-dose vaginal estrogen (e.g., dosages of estradiol <25 mcg twice weekly) with their healthcare provider.","Do not initiate systemic estrogen (e.g., oral tablets or transdermal patches). Consider deprescribing among older women already using this medication.

Vaginal cream or vaginal tablets: acceptable to use low-dose intravaginal estrogen for the management of dyspareunia, recurrent lower urinary tract infections, and other vaginal symptoms.","Oral and patch: High                              

Vaginal cream or vaginal tablets: Moderate","Oral and patch: Strong

Topical vaginal
cream or tablets:
Weak"
Estradiol ,Estrogens,"Evidence of carcinogenic potential (breast and endometrium); lack of cardioprotective effect and cognitive protection in older women.

For women who start HRT at age 60 and older, the risks of HRT are greater than the benefits, as HRT is linked to a higher risk of heart disease, stroke, blood clots, and dementia.

Evidence indicates that vaginal estrogens for the treatment of vaginal dryness are safe and effective; women with a history of breast cancer who do not respond to nonhormonal therapies are advised to discuss the risks and benefits of low-dose vaginal estrogen (e.g., dosages of estradiol <25 mcg twice weekly) with their healthcare provider.","Do not initiate systemic estrogen (e.g., oral tablets or transdermal patches). Consider deprescribing among older women already using this medication.

Vaginal cream or vaginal tablets: acceptable to use low-dose intravaginal estrogen for the management of dyspareunia, recurrent lower urinary tract infections, and other vaginal symptoms.","Oral and patch: High                              

Vaginal cream or vaginal tablets: Moderate","Oral and patch:
Strong

Topical vaginal
cream or tablets:
Weak"
Ethinyl estradiol,Estrogens,"Evidence of carcinogenic potential (breast and endometrium); lack of cardioprotective effect and cognitive protection in older women.

For women who start HRT at age 60 and older, the risks of HRT are greater than the benefits, as HRT is linked to a higher risk of heart disease, stroke, blood clots, and dementia.

Evidence indicates that vaginal estrogens for the treatment of vaginal dryness are safe and effective; women with a history of breast cancer who do not respond to nonhormonal therapies are advised to discuss the risks and benefits of low-dose vaginal estrogen (e.g., dosages of estradiol <25 mcg twice weekly) with their healthcare provider.","Do not initiate systemic estrogen (e.g., oral tablets or transdermal patches). Consider deprescribing among older women already using this medication.

Vaginal cream: acceptable to use low-dose intravaginal estrogen for the management of dyspareunia, recurrent lower urinary tract infections, and other vaginal symptoms.","Oral and patch: High

Vaginal cream: Moderate","Oral and patch: Strong

Topical vaginal
cream: Weak"
Estropipate,Estrogens,"Evidence of carcinogenic potential (breast and endometrium); lack of cardioprotective effect and cognitive protection in older women.

For women who start HRT at age 60 and older, the risks of HRT are greater than the benefits, as HRT is linked to a higher risk of heart disease, stroke, blood clots, and dementia.

Evidence indicates that vaginal estrogens for the treatment of vaginal dryness are safe and effective; women with a history of breast cancer who do not respond to nonhormonal therapies are advised to discuss the risks and benefits of low-dose vaginal estrogen (e.g., dosages of estradiol <25 mcg twice weekly) with their healthcare provider.","Do not initiate systemic estrogen (e.g., oral tablets or transdermal patches). Consider deprescribing among older women already using this medication.",Oral: High,Oral: Strong
Estradiol/norethindrone,Estrogens with progestins,"Evidence of carcinogenic potential (breast and endometrium); lack of cardioprotective effect and cognitive protection in older women.

For women who start HRT at age 60 and older, the risks of HRT are greater than the benefits, as HRT is linked to a higher risk of heart disease, stroke, blood clots, and dementia.

Evidence indicates that vaginal estrogens for the treatment of vaginal dryness are safe and effective; women with a history of breast cancer who do not respond to nonhormonal therapies are advised to discuss the risks and benefits of low-dose vaginal estrogen (e.g., dosages of estradiol <25 mcg twice weekly) with their healthcare provider.","Do not initiate systemic estrogen (e.g., oral tablets or transdermal patches). Consider deprescribing among older women already using this medication.",Oral: High,Oral: Strong
Insulin soluble,Insulin,Higher risk of hypoglycemia without improvement in hyperglycemia management regardless of care setting. Avoid insulin regimens that include only short- or rapid-acting insulin dosed according to current blood glucose levels without concurrent use of basal or long-acting insulin. This recommendation does not apply to regimens that contain basal insulin or long-acting insulin.,"Avoid insulin regimens
containing only short- or rapid-acting
insulin dosed according to current
blood glucose levels without
concurrent use of basal or long-acting
insulin.",Moderate ,Strong
Insulin glulisine,Insulin,Higher risk of hypoglycemia without improvement in hyperglycemia management regardless of care setting. Avoid insulin regimens that include only short- or rapid-acting insulin dosed according to current blood glucose levels without concurrent use of basal or long-acting insulin. This recommendation does not apply to regimens that contain basal insulin or long-acting insulin.,"Avoid insulin regimens
containing only short- or rapid-acting
insulin dosed according to current
blood glucose levels without
concurrent use of basal or long-acting
insulin.",Moderate ,Strong
Insulin aspart,Insulin,Higher risk of hypoglycemia without improvement in hyperglycemia management regardless of care setting. Avoid insulin regimens that include only short- or rapid-acting insulin dosed according to current blood glucose levels without concurrent use of basal or long-acting insulin. This recommendation does not apply to regimens that contain basal insulin or long-acting insulin.,"Avoid insulin regimens
containing only short- or rapid-acting
insulin dosed according to current
blood glucose levels without
concurrent use of basal or long-acting
insulin.",Moderate ,Strong
Insulin lispro,Insulin,Higher risk of hypoglycemia without improvement in hyperglycemia management regardless of care setting. Avoid insulin regimens that include only short- or rapid-acting insulin dosed according to current blood glucose levels without concurrent use of basal or long-acting insulin. This recommendation does not apply to regimens that contain basal insulin or long-acting insulin.,"Avoid insulin regimens
containing only short- or rapid-acting
insulin dosed according to current
blood glucose levels without
concurrent use of basal or long-acting
insulin.",Moderate ,Strong
Gliclazide,Sulfonylureas; Sulphonylureas,"Sulfonylureas have a higher risk of cardiovascular events, all-cause mortality, and hypoglycemia than alternative agents. Sulfonylureas may increase the risk of cardiovascular death and ischemic stroke.

Among sulfonylureas, long-acting agents (e.g., glyburide, glimepiride) confer a higher risk of prolonged hypoglycemia than short-acting agents (e.g., glipizide).","Avoid sulfonylureas as first- or second-line monotherapy or add-on therapy unless there are substantial barriers to the use of safer and more effective agents.

If a sulfonylurea is used, choose short-acting agents (e.g., glipizide) over long-acting agents (e.g., glyburide, glimepiride).","Hypoglycemia: High

CV events and all-cause mortality: Moderate

CV death and ischemic stroke: Low",Strong
Glimepiride,Sulfonylureas; Sulphonylureas,"Sulfonylureas have a higher risk of cardiovascular events, all-cause mortality, and hypoglycemia than alternative agents. Sulfonylureas may increase the risk of cardiovascular death and ischemic stroke.

Among sulfonylureas, long-acting agents (e.g., glyburide, glimepiride) confer a higher risk of prolonged hypoglycemia than short-acting agents (e.g., glipizide).","Avoid sulfonylureas as first- or second-line monotherapy or add-on therapy unless there are substantial barriers to the use of safer and more effective agents.

If a sulfonylurea is used, choose short-acting agents (e.g., glipizide) over long-acting agents (e.g., glyburide, glimepiride).","Hypoglycemia: High

CV events and all-cause mortality: Moderate

CV death and ischemic stroke: Low",Strong
Glipizide,Sulfonylureas; Sulphonylureas,"Sulfonylureas have a higher risk of cardiovascular events, all-cause mortality, and hypoglycemia than alternative agents. Sulfonylureas may increase the risk of cardiovascular death and ischemic stroke.

Among sulfonylureas, long-acting agents (e.g., glyburide, glimepiride) confer a higher risk of prolonged hypoglycemia than short-acting agents (e.g., glipizide).","Avoid sulfonylureas as first- or second-line monotherapy or add-on therapy unless there are substantial barriers to the use of safer and more effective agents.

If a sulfonylurea is used, choose short-acting agents (e.g., glipizide) over long-acting agents (e.g., glyburide, glimepiride).","Hypoglycemia: High

CV events and all-cause mortality: Moderate

CV death and ischemic stroke: Low",Strong
Glyburide,Sulfonylureas; Sulphonylureas,"Sulfonylureas have a higher risk of cardiovascular events, all-cause mortality, and hypoglycemia than alternative agents. Sulfonylureas may increase the risk of cardiovascular death and ischemic stroke.

Among sulfonylureas, long-acting agents (e.g., glyburide, glimepiride) confer a higher risk of prolonged hypoglycemia than short-acting agents (e.g., glipizide).","Avoid sulfonylureas as first- or second-line monotherapy or add-on therapy unless there are substantial barriers to the use of safer and more effective agents.

If a sulfonylurea is used, choose short-acting agents (e.g., glipizide) over long-acting agents (e.g., glyburide, glimepiride).","Hypoglycemia: High

CV events and all-cause mortality: Moderate

CV death and ischemic stroke: Low",Strong
Glibenclamide,Sulfonylureas; Sulphonylureas,"Sulfonylureas have a higher risk of cardiovascular events, all-cause mortality, and hypoglycemia than alternative agents. Sulfonylureas may increase the risk of cardiovascular death and ischemic stroke.

Among sulfonylureas, long-acting agents (e.g., glibenclamide, glimepiride) confer a higher risk of prolonged hypoglycemia than short-acting agents (e.g., glipizide).","Avoid sulfonylureas as first- or second-line monotherapy or add-on therapy unless there are substantial barriers to the use of safer and more effective agents.

If a sulfonylurea is used, choose short-acting agents (e.g., glipizide) over long-acting agents (e.g., glibenclamide, glimepiride).","Hypoglycemia: High

CV events and all-cause mortality: Moderate

CV death and ischemic stroke: Low",Strong
Dessicated thyroid,Thyroid products,Concerns about cardiac effects; safer alternatives available.,Avoid,Low,Strong
Megestrol,Progestins,Minimal effect on weight; increases the risk of thrombotic events and possibly death in older adults.,Avoid,Moderate ,Strong
Somatropin,Growth hormone,"Impact on body composition is small and associated with edema, arthralgia, carpal tunnel syndrome, gynecomastia, and impaired fasting glucose.","Avoid, except for patients rigorously diagnosed by evidence-based criteria with growth hormone deficiency due to an established etiology.",High,Strong
Tesamorelin,Growth hormone,"Impact on body composition is small and associated with edema, arthralgia, carpal tunnel syndrome, gynecomastia, and impaired fasting glucose.","Avoid, except for patients rigorously diagnosed by evidence-based criteria with growth hormone deficiency due to an established etiology.",High,Strong
Mecasermin,Growth hormone,"Impact on body composition is small and associated with edema, arthralgia, carpal tunnel syndrome, gynecomastia, and impaired fasting glucose.","Avoid, except for patients rigorously diagnosed by evidence-based criteria with growth hormone deficiency due to an established etiology.",High,Strong
Dexlansoprazole,Proton pump inhibitors,"Risk of C. difficile infection, pneumonia, GI malignancies, bone loss, and fractures.","Avoid scheduled use for >8 weeks unless for high-risk patients (e.g., oral corticosteroids or chronic NSAID use), erosive esophagitis, Barrett's esophagitis, pathologic hypersecretory condition, or demonstrated need for maintenance treatment (e.g., because of failure of drug discontinuation trial or H2-receptor antagonists).","C. difficile, bone loss, and fractures: High

Pneumonia and GI malignancies: Moderate",Strong
Esomeprazole,Proton pump inhibitors,"Risk of C. difficile infection, pneumonia, GI malignancies, bone loss, and fractures.","Avoid scheduled use for >8 weeks unless for high-risk patients (e.g., oral corticosteroids or chronic NSAID use), erosive esophagitis, Barrett's esophagitis, pathologic hypersecretory condition, or demonstrated need for maintenance treatment (e.g., because of failure of drug discontinuation trial or H2-receptor antagonists).","C. difficile, bone loss, and fractures: High

Pneumonia and GI malignancies: Moderate",Strong
Lansoprazole,Proton pump inhibitors,"Risk of C. difficile infection, pneumonia, GI malignancies, bone loss, and fractures.","Avoid scheduled use for >8 weeks unless for high-risk patients (e.g., oral corticosteroids or chronic NSAID use), erosive esophagitis, Barrett's esophagitis, pathologic hypersecretory condition, or demonstrated need for maintenance treatment (e.g., because of failure of drug discontinuation trial or H2-receptor antagonists).","C. difficile, bone loss, and fractures: High

Pneumonia and GI malignancies: Moderate",Strong
Omeprazole,Proton pump inhibitors,"Risk of C. difficile infection, pneumonia, GI malignancies, bone loss, and fractures.","Avoid scheduled use for >8 weeks unless for high-risk patients (e.g., oral corticosteroids or chronic NSAID use), erosive esophagitis, Barrett's esophagitis, pathologic hypersecretory condition, or demonstrated need for maintenance treatment (e.g., because of failure of drug discontinuation trial or H2-receptor antagonists).","C. difficile, bone loss, and fractures: High

Pneumonia and GI malignancies: Moderate",Strong
Pantoprazole,Proton pump inhibitors,"Risk of C. difficile infection, pneumonia, GI malignancies, bone loss, and fractures.","Avoid scheduled use for >8 weeks unless for high-risk patients (e.g., oral corticosteroids or chronic NSAID use), erosive esophagitis, Barrett's esophagitis, pathologic hypersecretory condition, or demonstrated need for maintenance treatment (e.g., because of failure of drug discontinuation trial or H2-receptor antagonists).","C. difficile, bone loss, and fractures: High

Pneumonia and GI malignancies: Moderate",Strong
Rabeprazole,Proton pump inhibitors,"Risk of C. difficile infection, pneumonia, GI malignancies, bone loss, and fractures.","Avoid scheduled use for >8 weeks unless for high-risk patients (e.g., oral corticosteroids or chronic NSAID use), erosive esophagitis, Barrett's esophagitis, pathologic hypersecretory condition, or demonstrated need for maintenance treatment (e.g., because of failure of drug discontinuation trial or H2-receptor antagonists).","C. difficile, bone loss, and fractures: High

Pneumonia and GI malignancies: Moderate",Strong
Metoclopramide,"Antiemetics, Dopamine receptor agonists","Can cause extrapyramidal effects, including tardive dyskinesia; the risk may be greater in frail older adults and with prolonged exposure.","Avoid, unless for gastroparesis with a duration of use not to exceed 12 weeks except in rare cases.",Moderate ,Strong
Atropine ,Antispasmodics,"Highly anticholinergic, uncertain effectiveness.","Avoid, excluding ophthalmic",Moderate ,Strong
Clidinium/chlordiazepoxide,Antispasmodics,"Highly anticholinergic, uncertain effectiveness.",Avoid,Moderate ,Strong
Dicyclomine,Antispasmodics,"Highly anticholinergic, uncertain effectiveness.",Avoid,Moderate ,Strong
Hyoscyamine,Antispasmodics,"Highly anticholinergic, uncertain effectiveness.",Avoid,Moderate ,Strong
Scopolamine,Antispasmodics,"Highly anticholinergic, uncertain effectiveness.",Avoid,Moderate ,Strong
Mineral oil,Lubricant laxatives,Potential for aspiration and adverse effects; safer alternatives available.,Avoid oral,Moderate,Strong
Desmopressin,Hormones,High risk of hyponatremia; safer alternative treatments for nocturia (including non-pharmacologic).,Avoid for treatment of nocturia or nocturnal polyuria.,Moderate,Strong
Diclofenac,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective","Increased risk of GI bleeding or peptic ulcer disease in high-risk groups, including those >75 years old or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. 
Upper GI ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3–6 months and in ~2%–4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose-related.","Avoid chronic use unless other alternatives are not effective and the patient can take a gastroprotective agent
(proton-pump inhibitor or misoprostol).

Avoid short-term scheduled use in combination with oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents unless other alternatives are not effective and the patient can take a gastroprotective agent
(proton-pump inhibitor or misoprostol).",Moderate,Strong
Diflunisal,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective","Increased risk of GI bleeding or peptic ulcer disease in high-risk groups, including those >75 years old or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. 
Upper GI ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3–6 months and in ~2%–4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose-related.","Avoid chronic use unless other alternatives are not effective and the patient can take a gastroprotective agent
(proton-pump inhibitor or misoprostol).

Avoid short-term scheduled use in combination with oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents unless other alternatives are not effective and the patient can take a gastroprotective agent
(proton-pump inhibitor or misoprostol).",Moderate,Strong
Etodolac,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective","Increased risk of GI bleeding or peptic ulcer disease in high-risk groups, including those >75 years old or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. 
Upper GI ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3–6 months and in ~2%–4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose-related.","Avoid chronic use unless other alternatives are not effective and the patient can take a gastroprotective agent
(proton-pump inhibitor or misoprostol).

Avoid short-term scheduled use in combination with oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents unless other alternatives are not effective and the patient can take a gastroprotective agent
(proton-pump inhibitor or misoprostol).",Moderate,Strong
Flurbiprofen,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective","Increased risk of GI bleeding or peptic ulcer disease in high-risk groups, including those >75 years old or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. 
Upper GI ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3–6 months and in ~2%–4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose-related.","Avoid chronic use unless other alternatives are not effective and the patient can take a gastroprotective agent
(proton-pump inhibitor or misoprostol).

Avoid short-term scheduled use in combination with oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents unless other alternatives are not effective and the patient can take a gastroprotective agent
(proton-pump inhibitor or misoprostol).",Moderate,Strong
Ibuprofen,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective","Increased risk of GI bleeding or peptic ulcer disease in high-risk groups, including those >75 years old or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. 
Upper GI ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3–6 months and in ~2%–4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose-related.","Avoid chronic use unless other alternatives are not effective and the patient can take a gastroprotective agent
(proton-pump inhibitor or misoprostol).

Avoid short-term scheduled use in combination with oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents unless other alternatives are not effective and the patient can take a gastroprotective agent
(proton-pump inhibitor or misoprostol).",Moderate,Strong
Indomethacin,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective","1. 
Increased risk of GI bleeding or peptic ulcer disease in high-risk groups, including those >75 years old or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. 
Upper GI ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3–6 months and in ~2%–4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose-related.



2. 
Increased risk of GI bleeding/peptic ulcer disease and acute kidney injury in older adults. Of all the NSAIDs, indomethacin has the most adverse effects, including a higher risk of adverse CNS effects.","1. 
Avoid chronic use unless other alternatives are not effective and the patient can take a gastroprotective agent
(proton-pump inhibitor or misoprostol).

Avoid short-term scheduled use in combination with oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents unless other alternatives are not effective and the patient can take a gastroprotective agent
(proton-pump inhibitor or misoprostol).

2. 
Avoid",Moderate,Strong
Ketorolac,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective","1. 
Increased risk of GI bleeding or peptic ulcer disease in high-risk groups, including those >75 years old or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. 
Upper GI ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3–6 months and in ~2%–4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose-related.

2. 
Increased risk of GI bleeding/peptic ulcer disease and acute kidney injury in older adults. Of all the NSAIDs, indomethacin has the most adverse effects, including a higher risk of adverse CNS effects.","1. 
Avoid chronic use unless other alternatives are not effective and the patient can take a gastroprotective agent
(proton-pump inhibitor or misoprostol).

Avoid short-term scheduled use in combination with oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents unless other alternatives are not effective and the patient can take a gastroprotective agent
(proton-pump inhibitor or misoprostol).

2. 
Avoid ketorolac oral and parenteral.",Moderate,Strong
Meloxicam,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective","Increased risk of GI bleeding or peptic ulcer disease in high-risk groups, including those >75 years old or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. 
Upper GI ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3–6 months and in ~2%–4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose-related.","Avoid chronic use unless other alternatives are not effective and the patient can take a gastroprotective agent
(proton-pump inhibitor or misoprostol).

Avoid short-term scheduled use in combination with oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents unless other alternatives are not effective and the patient can take a gastroprotective agent
(proton-pump inhibitor or misoprostol).",Moderate,Strong
Nabumetone,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective","Increased risk of GI bleeding or peptic ulcer disease in high-risk groups, including those >75 years old or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. 
Upper GI ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3–6 months and in ~2%–4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose-related.","Avoid chronic use unless other alternatives are not effective and the patient can take a gastroprotective agent
(proton-pump inhibitor or misoprostol).

Avoid short-term scheduled use in combination with oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents unless other alternatives are not effective and the patient can take a gastroprotective agent
(proton-pump inhibitor or misoprostol).",Moderate,Strong
Naproxen,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective","Increased risk of GI bleeding or peptic ulcer disease in high-risk groups, including those >75 years old or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. 
Upper GI ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3–6 months and in ~2%–4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose-related.","Avoid chronic use unless other alternatives are not effective and the patient can take a gastroprotective agent
(proton-pump inhibitor or misoprostol).

Avoid short-term scheduled use in combination with oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents unless other alternatives are not effective and the patient can take a gastroprotective agent
(proton-pump inhibitor or misoprostol).",Moderate,Strong
Oxaprozin,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective","Increased risk of GI bleeding or peptic ulcer disease in high-risk groups, including those >75 years old or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. 
Upper GI ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3–6 months and in ~2%–4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose-related.","Avoid chronic use unless other alternatives are not effective and the patient can take a gastroprotective agent
(proton-pump inhibitor or misoprostol).

Avoid short-term scheduled use in combination with oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents unless other alternatives are not effective and the patient can take a gastroprotective agent
(proton-pump inhibitor or misoprostol).",Moderate,Strong
Piroxicam,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective","Increased risk of GI bleeding or peptic ulcer disease in high-risk groups, including those >75 years old or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. 
Upper GI ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3–6 months and in ~2%–4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose-related.","Avoid chronic use unless other alternatives are not effective and the patient can take a gastroprotective agent
(proton-pump inhibitor or misoprostol).

Avoid short-term scheduled use in combination with oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents unless other alternatives are not effective and the patient can take a gastroprotective agent
(proton-pump inhibitor or misoprostol).",Moderate,Strong
Mefenamic acid,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective","Increased risk of GI bleeding or peptic ulcer disease in high-risk groups, including those >75 years old or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. 
Upper GI ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3–6 months and in ~2%–4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose-related.","Avoid chronic use unless other alternatives are not effective and the patient can take a gastroprotective agent
(proton-pump inhibitor or misoprostol).

Avoid short-term scheduled use in combination with oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents unless other alternatives are not effective and the patient can take a gastroprotective agent
(proton-pump inhibitor or misoprostol).",Moderate,Strong
Ketoprofen,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective","Increased risk of GI bleeding or peptic ulcer disease in high-risk groups, including those >75 years old or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. 
Upper GI ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3–6 months and in ~2%–4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose-related.","Avoid chronic use unless other alternatives are not effective and the patient can take a gastroprotective agent
(proton-pump inhibitor or misoprostol).

Avoid short-term scheduled use in combination with oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents unless other alternatives are not effective and the patient can take a gastroprotective agent
(proton-pump inhibitor or misoprostol).",Moderate,Strong
Sulindac,"Non-steroidal anti-inflammatory drugs, non-COX-2 selective","Increased risk of GI bleeding or peptic ulcer disease in high-risk groups, including those >75 years old or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. 
Upper GI ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3–6 months and in ~2%–4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose-related.","Avoid chronic use unless other alternatives are not effective and the patient can take a gastroprotective agent
(proton-pump inhibitor or misoprostol).

Avoid short-term scheduled use in combination with oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents unless other alternatives are not effective and the patient can take a gastroprotective agent
(proton-pump inhibitor or misoprostol).",Moderate,Strong
Meperidine,Opioids ,"Oral analgesic not effective in dosages commonly used; may have a higher risk of neurotoxicity, including delirium, than other opioids; safer alternatives available.",Avoid,Moderate,Strong
Pethidine,Opioids ,"Oral analgesic not effective in dosages commonly used; may have a higher risk of neurotoxicity, including delirium, than other opioids; safer alternatives available.",Avoid,Moderate,Strong
