Disease or syndrome,Drug(s),Pharmacological class,Rationale,Recommendation,Quality of evidence,"Strength of
recommendation"
Delirium,Oxycodone,Opioids,"Emerging data highlights an association between opioid administration and delirium. 
For older adults with pain, use a balanced approach, including the use of validated pain assessment tools and multimodal strategies that include nondrug approaches to minimize opioid use.","Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Fentanyl,Opioids,"Emerging data highlights an association between opioid administration and delirium. 
For older adults with pain, use a balanced approach, including the use of validated pain assessment tools and multimodal strategies that include nondrug approaches to minimize opioid use.","Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Hydrocodone,Opioids,"Emerging data highlights an association between opioid administration and delirium. 
For older adults with pain, use a balanced approach, including the use of validated pain assessment tools and multimodal strategies that include nondrug approaches to minimize opioid use.","Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Codeine,Opioids,"Emerging data highlights an association between opioid administration and delirium. 
For older adults with pain, use a balanced approach, including the use of validated pain assessment tools and multimodal strategies that include nondrug approaches to minimize opioid use.","Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Tramadol,Opioids,"Emerging data highlights an association between opioid administration and delirium. 
For older adults with pain, use a balanced approach, including the use of validated pain assessment tools and multimodal strategies that include nondrug approaches to minimize opioid use.","Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Oxymorphone,Opioids,"Emerging data highlights an association between opioid administration and delirium. 
For older adults with pain, use a balanced approach, including the use of validated pain assessment tools and multimodal strategies that include nondrug approaches to minimize opioid use.","Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Buprenorphine,Opioids,"Emerging data highlights an association between opioid administration and delirium. 
For older adults with pain, use a balanced approach, including the use of validated pain assessment tools and multimodal strategies that include nondrug approaches to minimize opioid use.","Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Hydromorphone,Opioids,"Emerging data highlights an association between opioid administration and delirium. 
For older adults with pain, use a balanced approach, including the use of validated pain assessment tools and multimodal strategies that include nondrug approaches to minimize opioid use.","Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Tapentadol,Opioids,"Emerging data highlights an association between opioid administration and delirium. 
For older adults with pain, use a balanced approach, including the use of validated pain assessment tools and multimodal strategies that include nondrug approaches to minimize opioid use.","Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Remifentanil,Opioids,"Emerging data highlights an association between opioid administration and delirium. 
For older adults with pain, use a balanced approach, including the use of validated pain assessment tools and multimodal strategies that include nondrug approaches to minimize opioid use.","Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Alfentanil,Opioids,"Emerging data highlights an association between opioid administration and delirium. 
For older adults with pain, use a balanced approach, including the use of validated pain assessment tools and multimodal strategies that include nondrug approaches to minimize opioid use.","Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Pentazocine,Opioids,"Emerging data highlights an association between opioid administration and delirium. 
For older adults with pain, use a balanced approach, including the use of validated pain assessment tools and multimodal strategies that include nondrug approaches to minimize opioid use.","Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Delirium,Sufentanil,Opioids,"Emerging data highlights an association between opioid administration and delirium. 
For older adults with pain, use a balanced approach, including the use of validated pain assessment tools and multimodal strategies that include nondrug approaches to minimize opioid use.","Avoid, except in situations listed under the rationale statement.",Moderate,Strong
Dementia or cognitive impairment,Amitriptyline,Tricyclic antidepressants,"Strong anticholinergic properties, sedating, and cause orthostatic hypotension. 
Avoid because of adverse CNS effects. ",Avoid,Moderate,Strong
Dementia or cognitive impairment,Amoxapine,Tricyclic antidepressants,"Strong anticholinergic properties, sedating, and cause orthostatic hypotension. 
Avoid because of adverse CNS effects. ",Avoid,Moderate,Strong
Dementia or cognitive impairment,Clomipramine,Tricyclic antidepressants,"Strong anticholinergic properties, sedating, and cause orthostatic hypotension. 
Avoid because of adverse CNS effects. ",Avoid,Moderate,Strong
Dementia or cognitive impairment,Desipramine,Tricyclic antidepressants,"Strong anticholinergic properties, sedating, and cause orthostatic hypotension. 
Avoid because of adverse CNS effects. ",Avoid,Moderate,Strong
Dementia or cognitive impairment,Doxepin,Tricyclic antidepressants,"Strong anticholinergic properties, sedating, and cause orthostatic hypotension; the safety profile of low-dose doxepin (<=6 mg/day) is comparable to that of placebo. 
Avoid because of adverse CNS effects. ",Avoid >6 mg/day,Moderate,Strong
Dementia or cognitive impairment,Imipramine,Tricyclic antidepressants,"Strong anticholinergic properties, sedating, and cause orthostatic hypotension. 
Avoid because of adverse CNS effects. ",Avoid,Moderate,Strong
Dementia or cognitive impairment,Nortriptyline,Tricyclic antidepressants,"Strong anticholinergic properties, sedating, and cause orthostatic hypotension. 
Avoid because of adverse CNS effects. ",Avoid,Moderate,Strong
Dementia or cognitive impairment,Paroxetine,Selective serotonin re-uptake inhibitors,"Strong anticholinergic properties, sedating, and cause orthostatic hypotension. 
Avoid because of adverse CNS effects. ",Avoid,Moderate,Strong
Dementia or cognitive impairment,Prochlorperazine,Antiemetics,"Strong anticholinergic properties; Dopamine-receptor antagonists with the potential to worsen parkinsonian symptoms. 
Avoid because of adverse CNS effects.",Avoid,Moderate,Strong
Dementia or cognitive impairment,Promethazine,"Antiemetics, First-generation antihistamines","Strong anticholinergic properties.
Avoid because of adverse CNS effects.",Avoid,Moderate,Strong
Dementia or cognitive impairment,Brompheniramine,First-generation antihistamines,"Strong anticholinergic properties. 
Avoid because of adverse CNS effects. 
See criteria (Table 2) on individual drugs for additional information.",Avoid,Moderate,Strong
Dementia or cognitive impairment,Chlorpheniramine,First-generation antihistamines,"Strong anticholinergic properties. 
Avoid because of adverse CNS effects. 
See criteria (Table 2) on individual drugs for additional information.",Avoid,Moderate,Strong
Dementia or cognitive impairment,Cyproheptadine,First-generation antihistamines,"Strong anticholinergic properties. 
Avoid because of adverse CNS effects. 
See criteria (Table 2) on individual drugs for additional information.",Avoid,Moderate,Strong
Dementia or cognitive impairment,Dimenhydrinate,First-generation antihistamines,"Strong anticholinergic properties. 
Avoid because of adverse CNS effects. 
See criteria (Table 2) on individual drugs for additional information.",Avoid,Moderate,Strong
Dementia or cognitive impairment,Diphenhydramine,First-generation antihistamines,"Strong anticholinergic properties. 
Avoid because of adverse CNS effects. 
See criteria (Table 2) on individual drugs for additional information.",Avoid,Moderate,Strong
Dementia or cognitive impairment,Doxylamine,First-generation antihistamines,"Strong anticholinergic properties. 
Avoid because of adverse CNS effects. 
See criteria (Table 2) on individual drugs for additional information.",Avoid,Moderate,Strong
Dementia or cognitive impairment,Hydroxyzine,First-generation antihistamines,"Strong anticholinergic properties. 
Avoid because of adverse CNS effects. 
See criteria (Table 2) on individual drugs for additional information.",Avoid,Moderate,Strong
Dementia or cognitive impairment,Meclizine,First-generation antihistamines,"Strong anticholinergic properties. 
Avoid because of adverse CNS effects. 
See criteria (Table 2) on individual drugs for additional information.",Avoid,Moderate,Strong
Dementia or cognitive impairment,Triprolidine,First-generation antihistamines,"Strong anticholinergic properties. 
Avoid because of adverse CNS effects. 
See criteria (Table 2) on individual drugs for additional information.",Avoid,Moderate,Strong
Dementia or cognitive impairment,Darifenacin,Antimuscarinics,"Strong anticholinergic properties; May decrease urinary flow and cause urinary retention. 
Avoid because of adverse CNS effects. ",Avoid,Moderate,Strong
Dementia or cognitive impairment,Fesoterodine,Antimuscarinics,"Strong anticholinergic properties; May decrease urinary flow and cause urinary retention. 
Avoid because of adverse CNS effects. ",Avoid,Moderate,Strong
Dementia or cognitive impairment,Flavoxate,Antimuscarinics,"Strong anticholinergic properties; May decrease urinary flow and cause urinary retention. 
Avoid because of adverse CNS effects. ",Avoid,Moderate,Strong
Dementia or cognitive impairment,Oxybutynin,Antimuscarinics,"Strong anticholinergic properties; May decrease urinary flow and cause urinary retention. 
Avoid because of adverse CNS effects. ",Avoid,Moderate,Strong
Dementia or cognitive impairment,Solifenacin,Antimuscarinics,"Strong anticholinergic properties; May decrease urinary flow and cause urinary retention. 
Avoid because of adverse CNS effects. ",Avoid,Moderate,Strong
Dementia or cognitive impairment,Tolterodine,Antimuscarinics,"Strong anticholinergic properties; May decrease urinary flow and cause urinary retention. 
Avoid because of adverse CNS effects. ",Avoid,Moderate,Strong
Dementia or cognitive impairment,Trospium,Antimuscarinics,"Strong anticholinergic properties; May decrease urinary flow and cause urinary retention. 
Avoid because of adverse CNS effects. ",Avoid,Moderate,Strong
Dementia or cognitive impairment,Benztropine,Antiparkinsonian agents,"Strong anticholinergic properties.
Avoid because of adverse CNS effects. 
Not recommended for prevention or treatment of extrapyramidal symptoms due to antipsychotics; more effective agents available for the treatment of Parkinson disease.",Avoid,Moderate,Strong
Dementia or cognitive impairment,Trihexyphenidyl,Antiparkinsonian agents,"Strong anticholinergic properties.
Avoid because of adverse CNS effects. 
Not recommended for prevention or treatment of extrapyramidal symptoms due to antipsychotics; more effective agents available for the treatment of Parkinson disease.",Avoid,Moderate,Strong
Dementia or cognitive impairment,Chlorpromazine,Antipsychotics,"Strong anticholinergic properties. 
Avoid because of adverse CNS effects. 
Increased risk of stroke and greater rate of cognitive decline and mortality in persons with dementia. Additional evidence suggests an association of increased risk between antipsychotic medication and mortality independent of dementia.
Avoid antipsychotics for behavioral problems of dementia or delirium unless documented nonpharmacologic options (e.g., behavioral interventions) have failed and/or the patient is threatening substantial harm to self or others. If used, periodic deprescribing attempts should be considered to assess ongoing need and/or the lowest effective dose.","Avoid.
May be required to treat concurrent schizophrenia, bipolar disorder, and other selected mental health and neuropsychiatric conditions but should be prescribed in the lowest effective dose and for the shortest possible duration.",Moderate,Strong
Dementia or cognitive impairment,Clozapine,Antipsychotics,"Strong anticholinergic properties. 
Avoid because of adverse CNS effects. 
Increased risk of stroke and greater rate of cognitive decline and mortality in persons with dementia. Additional evidence suggests an association of increased risk between antipsychotic medication and mortality independent of dementia.
Avoid antipsychotics for behavioral problems of dementia or delirium unless documented nonpharmacologic options (e.g., behavioral interventions) have failed and/or the patient is threatening substantial harm to self or others. If used, periodic deprescribing attempts should be considered to assess ongoing need and/or the lowest effective dose.","Avoid.
May be required to treat concurrent schizophrenia, bipolar disorder, and other selected mental health and neuropsychiatric conditions but should be prescribed in the lowest effective dose and for the shortest possible duration.",Moderate,Strong
Dementia or cognitive impairment,Olanzapine,Antipsychotics,"Strong anticholinergic properties. 
Avoid because of adverse CNS effects. 
Increased risk of stroke and greater rate of cognitive decline and mortality in persons with dementia. Additional evidence suggests an association of increased risk between antipsychotic medication and mortality independent of dementia.
Avoid antipsychotics for behavioral problems of dementia or delirium unless documented nonpharmacologic options (e.g., behavioral interventions) have failed and/or the patient is threatening substantial harm to self or others. If used, periodic deprescribing attempts should be considered to assess ongoing need and/or the lowest effective dose.","Avoid.
May be required to treat concurrent schizophrenia, bipolar disorder, and other selected mental health and neuropsychiatric conditions but should be prescribed in the lowest effective dose and for the shortest possible duration.",Moderate,Strong
Dementia or cognitive impairment,Perphenazine,Antipsychotics,"Strong anticholinergic properties. 
Avoid because of adverse CNS effects. 
Increased risk of stroke and greater rate of cognitive decline and mortality in persons with dementia. Additional evidence suggests an association of increased risk between antipsychotic medication and mortality independent of dementia.
Avoid antipsychotics for behavioral problems of dementia or delirium unless documented nonpharmacologic options (e.g., behavioral interventions) have failed and/or the patient is threatening substantial harm to self or others. If used, periodic deprescribing attempts should be considered to assess ongoing need and/or the lowest effective dose.","Avoid.
May be required to treat concurrent schizophrenia, bipolar disorder, and other selected mental health and neuropsychiatric conditions but should be prescribed in the lowest effective dose and for the shortest possible duration.",Moderate,Strong
Dementia or cognitive impairment,Fluphenazine,Antipsychotics,"Increased risk of stroke and greater rate of cognitive decline and mortality in people with dementia. 
Avoid antipsychotics for behavioral problems of dementia or delirium unless documented nonpharmacologic options (e.g., behavioral interventions) have failed and/or the patient is threatening substantial harm to self or others. 
If used, periodic deprescribing attempts should be considered to assess ongoing need and/or the lowest effective dose.","Avoid chronic use or persistent as-needed use.

May be required to treat concurrent schizophrenia, bipolar disorder, and other selected mental health and neuropsychiatric conditions but should be prescribed in the lowest effective dose and for the shortest possible duration.",Moderate,Strong
Dementia or cognitive impairment,Haloperidol,Antipsychotics,"Increased risk of stroke and greater rate of cognitive decline and mortality in people with dementia. 
Avoid antipsychotics for behavioral problems of dementia or delirium unless documented nonpharmacologic options (e.g., behavioral interventions) have failed and/or the patient is threatening substantial harm to self or others. 
If used, periodic deprescribing attempts should be considered to assess ongoing need and/or the lowest effective dose.","Avoid chronic use or persistent as-needed use.

May be required to treat concurrent schizophrenia, bipolar disorder, and other selected mental health and neuropsychiatric conditions but should be prescribed in the lowest effective dose and for the shortest possible duration.",Moderate,Strong
Dementia or cognitive impairment,Aripiprazole,Antipsychotics,"Increased risk of stroke and greater rate of cognitive decline and mortality in people with dementia. 
Avoid antipsychotics for behavioral problems of dementia or delirium unless documented nonpharmacologic options (e.g., behavioral interventions) have failed and/or the patient is threatening substantial harm to self or others. 
If used, periodic deprescribing attempts should be considered to assess ongoing need and/or the lowest effective dose.","Avoid chronic use or persistent as-needed use.

May be required to treat concurrent schizophrenia, bipolar disorder, and other selected mental health and neuropsychiatric conditions but should be prescribed in the lowest effective dose and for the shortest possible duration.",Moderate,Strong
Dementia or cognitive impairment,Brexpiprazole,Antipsychotics,"Increased risk of stroke and greater rate of cognitive decline and mortality in people with dementia. 
Avoid antipsychotics for behavioral problems of dementia or delirium unless documented nonpharmacologic options (e.g., behavioral interventions) have failed and/or the patient is threatening substantial harm to self or others. 
If used, periodic deprescribing attempts should be considered to assess ongoing need and/or the lowest effective dose.","Avoid chronic use or persistent as-needed use.

May be required to treat concurrent schizophrenia, bipolar disorder, and other selected mental health and neuropsychiatric conditions but should be prescribed in the lowest effective dose and for the shortest possible duration.",Moderate,Strong
Dementia or cognitive impairment,Cariprazine,Antipsychotics,"Increased risk of stroke and greater rate of cognitive decline and mortality in people with dementia. 
Avoid antipsychotics for behavioral problems of dementia or delirium unless documented nonpharmacologic options (e.g., behavioral interventions) have failed and/or the patient is threatening substantial harm to self or others. 
If used, periodic deprescribing attempts should be considered to assess ongoing need and/or the lowest effective dose.","Avoid chronic use or persistent as-needed use.

May be required to treat concurrent schizophrenia, bipolar disorder, and other selected mental health and neuropsychiatric conditions but should be prescribed in the lowest effective dose and for the shortest possible duration.",Moderate,Strong
Dementia or cognitive impairment,Lurasidone,Antipsychotics,"Increased risk of stroke and greater rate of cognitive decline and mortality in people with dementia. 
Avoid antipsychotics for behavioral problems of dementia or delirium unless documented nonpharmacologic options (e.g., behavioral interventions) have failed and/or the patient is threatening substantial harm to self or others. 
If used, periodic deprescribing attempts should be considered to assess ongoing need and/or the lowest effective dose.","Avoid chronic use or persistent as-needed use.

May be required to treat concurrent schizophrenia, bipolar disorder, and other selected mental health and neuropsychiatric conditions but should be prescribed in the lowest effective dose and for the shortest possible duration.",Moderate,Strong
Dementia or cognitive impairment,Paliperidone,Antipsychotics,"Increased risk of stroke and greater rate of cognitive decline and mortality in people with dementia. 
Avoid antipsychotics for behavioral problems of dementia or delirium unless documented nonpharmacologic options (e.g., behavioral interventions) have failed and/or the patient is threatening substantial harm to self or others. 
If used, periodic deprescribing attempts should be considered to assess ongoing need and/or the lowest effective dose.","Avoid chronic use or persistent as-needed use.

May be required to treat concurrent schizophrenia, bipolar disorder, and other selected mental health and neuropsychiatric conditions but should be prescribed in the lowest effective dose and for the shortest possible duration.",Moderate,Strong
Dementia or cognitive impairment,Pimavanserin,Antipsychotics,"Increased risk of stroke and greater rate of cognitive decline and mortality in people with dementia. 
Avoid antipsychotics for behavioral problems of dementia or delirium unless documented nonpharmacologic options (e.g., behavioral interventions) have failed and/or the patient is threatening substantial harm to self or others. 
If used, periodic deprescribing attempts should be considered to assess ongoing need and/or the lowest effective dose.","Avoid chronic use or persistent as-needed use.

May be required to treat concurrent schizophrenia, bipolar disorder, and other selected mental health and neuropsychiatric conditions but should be prescribed in the lowest effective dose and for the shortest possible duration.",Moderate,Strong
Dementia or cognitive impairment,Quetiapine,Antipsychotics,"Increased risk of stroke and greater rate of cognitive decline and mortality in people with dementia. 
Avoid antipsychotics for behavioral problems of dementia or delirium unless documented nonpharmacologic options (e.g., behavioral interventions) have failed and/or the patient is threatening substantial harm to self or others. 
If used, periodic deprescribing attempts should be considered to assess ongoing need and/or the lowest effective dose.","Avoid chronic use or persistent as-needed use.

May be required to treat concurrent schizophrenia, bipolar disorder, and other selected mental health and neuropsychiatric conditions but should be prescribed in the lowest effective dose and for the shortest possible duration.",Moderate,Strong
Dementia or cognitive impairment,Risperidone,Antipsychotics,"Increased risk of stroke and greater rate of cognitive decline and mortality in people with dementia. 
Avoid antipsychotics for behavioral problems of dementia or delirium unless documented nonpharmacologic options (e.g., behavioral interventions) have failed and/or the patient is threatening substantial harm to self or others. 
If used, periodic deprescribing attempts should be considered to assess ongoing need and/or the lowest effective dose.","Avoid chronic use or persistent as-needed use.

May be required to treat concurrent schizophrenia, bipolar disorder, and other selected mental health and neuropsychiatric conditions but should be prescribed in the lowest effective dose and for the shortest possible duration.",Moderate,Strong
Dementia or cognitive impairment,Ziprasidone,Antipsychotics,"Increased risk of stroke and greater rate of cognitive decline and mortality in people with dementia. 
Avoid antipsychotics for behavioral problems of dementia or delirium unless documented nonpharmacologic options (e.g., behavioral interventions) have failed and/or the patient is threatening substantial harm to self or others. 
If used, periodic deprescribing attempts should be considered to assess ongoing need and/or the lowest effective dose.","Avoid chronic use or persistent as-needed use.

May be required to treat concurrent schizophrenia, bipolar disorder, and other selected mental health and neuropsychiatric conditions but should be prescribed in the lowest effective dose and for the shortest possible duration.",Moderate,Strong
Dementia or cognitive impairment,Atropine,Antispasmodics,"Strong anticholinergic properties, uncertain effectiveness. 
Avoid because of adverse CNS effects. ",Avoid,Moderate,Strong
Dementia or cognitive impairment,Clidinium/chlordiazepoxide,Antispasmodics,"Strong anticholinergic properties, uncertain effectiveness. 
Avoid because of adverse CNS effects. ",Avoid,Moderate,Strong
Dementia or cognitive impairment,Dicyclomine,Antispasmodics,"Strong anticholinergic properties, uncertain effectiveness. 
Avoid because of adverse CNS effects. ",Avoid,Moderate,Strong
Dementia or cognitive impairment,Homatropine,Antispasmodics,"Strong anticholinergic properties, uncertain effectiveness. 
Avoid because of adverse CNS effects. ",Avoid,Moderate,Strong
Dementia or cognitive impairment,Hyoscyamine,Antispasmodics,"Strong anticholinergic properties, uncertain effectiveness. 
Avoid because of adverse CNS effects. ",Avoid,Moderate,Strong
Dementia or cognitive impairment,Scopolamine,Antispasmodics,"Strong anticholinergic properties, uncertain effectiveness. 
Avoid because of adverse CNS effects. ",Avoid,Moderate,Strong
Dementia or cognitive impairment,Cyclobenzaprine,Skeletal muscle relaxants,"Strong anticholinergic properties. 
Avoid because of adverse CNS effects. 
Muscle relaxants typically used to treat musculoskeletal complaints are poorly tolerated by older adults due to anticholinergic adverse effects, sedation, and increased risk of fractures; effectiveness at dosages tolerated by older adults is questionable.",Avoid,Moderate,Strong
Dementia or cognitive impairment,Orphenadrine,Skeletal muscle relaxants,"Strong anticholinergic properties. 
Avoid because of adverse CNS effects. 
Muscle relaxants typically used to treat musculoskeletal complaints are poorly tolerated by older adults due to anticholinergic adverse effects, sedation, and increased risk of fractures; effectiveness at dosages tolerated by older adults is questionable.",Avoid,Moderate,Strong
Dementia or cognitive impairment,Alprazolam,Benzodiazepines ,"Avoid because of adverse CNS effects. 
The use of benzodiazepines exposes users to risks of abuse, misuse, and addiction. Concomitant use of opioids may result in profound sedation, respiratory depression, coma, and death.

Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; the continued use of benzodiazepines may lead to clinically significant physical dependence. In general, all benzodiazepines increase the risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults.

May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia.",Avoid,Moderate,Strong
Dementia or cognitive impairment,Chlordiazepoxide,Benzodiazepines ,"Avoid because of adverse CNS effects. 
The use of benzodiazepines exposes users to risks of abuse, misuse, and addiction. Concomitant use of opioids may result in profound sedation, respiratory depression, coma, and death.

Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; the continued use of benzodiazepines may lead to clinically significant physical dependence. In general, all benzodiazepines increase the risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults.

May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia.",Avoid chlordiazepoxide alone/ in combination with amitriptyline or clidinium.,Moderate,Strong
Dementia or cognitive impairment,Clobazam,Benzodiazepines ,"Avoid because of adverse CNS effects. 
The use of benzodiazepines exposes users to risks of abuse, misuse, and addiction. Concomitant use of opioids may result in profound sedation, respiratory depression, coma, and death.

Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; the continued use of benzodiazepines may lead to clinically significant physical dependence. In general, all benzodiazepines increase the risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults.

May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia.",Avoid,Moderate,Strong
Dementia or cognitive impairment,Clonazepam,Benzodiazepines ,"Avoid because of adverse CNS effects. 
The use of benzodiazepines exposes users to risks of abuse, misuse, and addiction. Concomitant use of opioids may result in profound sedation, respiratory depression, coma, and death.

Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; the continued use of benzodiazepines may lead to clinically significant physical dependence. In general, all benzodiazepines increase the risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults.

May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia.",Avoid,Moderate,Strong
Dementia or cognitive impairment,Clorazepate,Benzodiazepines ,"Avoid because of adverse CNS effects. 
The use of benzodiazepines exposes users to risks of abuse, misuse, and addiction. Concomitant use of opioids may result in profound sedation, respiratory depression, coma, and death.

Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; the continued use of benzodiazepines may lead to clinically significant physical dependence. In general, all benzodiazepines increase the risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults.

May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia.",Avoid,Moderate,Strong
Dementia or cognitive impairment,Diazepam,Benzodiazepines ,"Avoid because of adverse CNS effects. 
The use of benzodiazepines exposes users to risks of abuse, misuse, and addiction. Concomitant use of opioids may result in profound sedation, respiratory depression, coma, and death.

Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; the continued use of benzodiazepines may lead to clinically significant physical dependence. In general, all benzodiazepines increase the risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults.

May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia.",Avoid,Moderate,Strong
Dementia or cognitive impairment,Estazolam,Benzodiazepines ,"Avoid because of adverse CNS effects. 
The use of benzodiazepines exposes users to risks of abuse, misuse, and addiction. Concomitant use of opioids may result in profound sedation, respiratory depression, coma, and death.

Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; the continued use of benzodiazepines may lead to clinically significant physical dependence. In general, all benzodiazepines increase the risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults.

May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia.",Avoid,Moderate,Strong
Dementia or cognitive impairment,Lorazepam,Benzodiazepines ,"Avoid because of adverse CNS effects. 
The use of benzodiazepines exposes users to risks of abuse, misuse, and addiction. Concomitant use of opioids may result in profound sedation, respiratory depression, coma, and death.

Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; the continued use of benzodiazepines may lead to clinically significant physical dependence. In general, all benzodiazepines increase the risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults.

May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia.",Avoid,Moderate,Strong
Dementia or cognitive impairment,Midazolam,Benzodiazepines ,"Avoid because of adverse CNS effects. 
The use of benzodiazepines exposes users to risks of abuse, misuse, and addiction. Concomitant use of opioids may result in profound sedation, respiratory depression, coma, and death.

Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; the continued use of benzodiazepines may lead to clinically significant physical dependence. In general, all benzodiazepines increase the risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults.

May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia.",Avoid,Moderate,Strong
Dementia or cognitive impairment,Oxazepam,Benzodiazepines ,"Avoid because of adverse CNS effects. 
The use of benzodiazepines exposes users to risks of abuse, misuse, and addiction. Concomitant use of opioids may result in profound sedation, respiratory depression, coma, and death.

Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; the continued use of benzodiazepines may lead to clinically significant physical dependence. In general, all benzodiazepines increase the risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults.

May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia.",Avoid,Moderate,Strong
Dementia or cognitive impairment,Temazepam,Benzodiazepines ,"Avoid because of adverse CNS effects. 
The use of benzodiazepines exposes users to risks of abuse, misuse, and addiction. Concomitant use of opioids may result in profound sedation, respiratory depression, coma, and death.

Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; the continued use of benzodiazepines may lead to clinically significant physical dependence. In general, all benzodiazepines increase the risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults.

May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia.",Avoid,Moderate,Strong
Dementia or cognitive impairment,Triazolam,Benzodiazepines ,"Avoid because of adverse CNS effects. 
The use of benzodiazepines exposes users to risks of abuse, misuse, and addiction. Concomitant use of opioids may result in profound sedation, respiratory depression, coma, and death.

Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; the continued use of benzodiazepines may lead to clinically significant physical dependence. In general, all benzodiazepines increase the risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults.

May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia.",Avoid,Moderate,Strong
Dementia or cognitive impairment,Flurazepam,Benzodiazepines ,"Avoid because of adverse CNS effects. 
The use of benzodiazepines exposes users to risks of abuse, misuse, and addiction. Concomitant use of opioids may result in profound sedation, respiratory depression, coma, and death.

Older adults have increased sensitivity to benzodiazepines and decreased metabolism of long-acting agents; the continued use of benzodiazepines may lead to clinically significant physical dependence. In general, all benzodiazepines increase the risk of cognitive impairment, delirium, falls, fractures, and motor vehicle crashes in older adults.

May be appropriate for seizure disorders, rapid eye movement sleep behavior disorder, benzodiazepine withdrawal, ethanol withdrawal, severe generalized anxiety disorder, and periprocedural anesthesia.",Avoid,Moderate,Strong
